run,time
QD_t1_q1024_e16_p70,525
QD_t4_q2048_e8_p90,1747
MT_t4_q128_e0_p80,2187
QD_t2_q1024_e8_p80,877
QD_t4_q128_e16_p60,1752
QD_t1_q128_e16_p60,506
QD_t1_q512_e8_p70,522
QD_t8_q128_e8_p80,1423
QD_t4_q512_e8_p60,1627
QD_t6_q512_e16_p80,3767
QD_t2_q256_e8_p60,1058
QD_t4_q2048_e0_p60,3535
MT_t1_q256_e0_p60,399
QD_t6_q2048_e4_p80,3363
QD_t8_q512_e2_p70,3898
QD_t2_q128_e8_p50,715
MT_t6_q1024_e0_p70,5039
QD_t6_q512_e16_p70,3386
QD_t6_q1024_e4_p80,3932
QD_t8_q512_e16_p90,2623
QD_t8_q512_e2_p80,3837
QD_t8_q256_e4_p50,3858
QD_t6_q1024_e8_p60,3443
QD_t4_q128_e2_p80,1637
QD_t2_q512_e2_p80,786
QD_t6_q256_e0_p60,3400
QD_t4_q256_e8_p60,2233
QD_t1_q256_e4_p70,520
MT_t6_q128_e0_p70,4152
QD_t6_q128_e4_p80,1720
MT_t2_q1024_e0_p80,1092
QD_t8_q1024_e2_p50,3318
QD_t2_q2048_e16_p50,787
QD_t1_q512_e16_p90,529
QD_t2_q512_e16_p80,786
QD_t6_q128_e0_p80,2717
QD_t2_q1024_e2_p60,780
QD_t4_q512_e2_p80,1581
MT_t1_q128_e0_p70,456
QD_t2_q2048_e2_p80,777
QD_t6_q128_e0_p70,2574
QD_t1_q256_e16_p70,518
QD_t4_q256_e16_p90,1552
QD_t8_q512_e0_p50,4065
QD_t1_q2048_e8_p80,745
QD_t2_q256_e4_p60,774
QD_t6_q256_e0_p70,3155
QD_t2_q512_e8_p60,786
QD_t2_q2048_e2_p60,758
QD_t2_q1024_e2_p80,866
QD_t4_q1024_e2_p60,1602
QD_t6_q128_e2_p60,1734
QD_t8_q128_e4_p70,2000
QD_t1_q128_e4_p70,516
QD_t2_q256_e4_p80,842
QD_t1_q2048_e8_p60,515
QD_t2_q2048_e2_p50,747
QD_t4_q256_e2_p90,1516
QD_t4_q512_e16_p70,3145
QD_t2_q128_e2_p80,940
QD_t6_q1024_e2_p50,3277
QD_t8_q128_e8_p60,2145
QD_t4_q512_e8_p80,1572
QD_t1_q512_e4_p90,537
QD_t4_q256_e0_p50,1529
QD_t8_q512_e0_p90,4185
MT_t8_q256_e0_p70,8920
QD_t4_q1024_e0_p70,1923
QD_t1_q2048_e2_p70,523
QD_t2_q128_e0_p70,833
MT_t4_q128_e0_p70,1911
QD_t6_q512_e0_p90,3647
QD_t1_q1024_e0_p80,549
QD_t6_q1024_e4_p70,3703
MT_t8_q2048_e0_p90,9150
QD_t6_q256_e8_p90,2736
QD_t8_q2048_e8_p50,3966
QD_t4_q256_e4_p60,2569
QD_t2_q128_e0_p90,840
QD_t8_q128_e4_p50,2023
MT_t4_q2048_e0_p90,5934
QD_t1_q512_e2_p50,515
QD_t6_q512_e2_p70,2424
QD_t8_q1024_e8_p60,4155
MT_t1_q128_e0_p50,412
QD_t6_q256_e4_p50,1552
QD_t1_q128_e2_p80,520
QD_t6_q512_e8_p70,3074
QD_t2_q2048_e4_p90,795
QD_t8_q2048_e16_p80,4129
QD_t8_q128_e16_p70,2057
QD_t6_q2048_e2_p80,3939
QD_t6_q2048_e8_p70,2702
QD_t1_q128_e8_p50,518
QD_t6_q512_e0_p70,3880
QD_t6_q1024_e2_p90,3567
QD_t1_q512_e16_p70,507
QD_t1_q2048_e0_p50,703
QD_t1_q128_e4_p80,521
QD_t4_q128_e0_p90,1505
QD_t2_q1024_e16_p70,959
QD_t8_q256_e4_p90,2984
QD_t1_q128_e0_p70,514
QD_t8_q1024_e4_p60,3976
QD_t8_q256_e16_p60,3153
QD_t4_q2048_e8_p50,1794
QD_t6_q512_e2_p60,3073
QD_t4_q256_e16_p60,1643
QD_t6_q256_e0_p50,3572
QD_t4_q2048_e2_p60,1683
QD_t8_q512_e8_p60,3754
QD_t1_q1024_e8_p90,513
QD_t8_q512_e0_p60,3593
QD_t2_q1024_e8_p70,1207
QD_t6_q128_e16_p90,1880
QD_t6_q256_e2_p70,2600
QD_t8_q2048_e4_p80,4029
QD_t6_q128_e2_p50,1780
QD_t8_q512_e16_p50,3972
MT_t1_q1024_e0_p60,405
QD_t4_q512_e2_p60,1699
QD_t1_q2048_e4_p70,528
QD_t2_q2048_e8_p60,769
QD_t8_q2048_e4_p60,4101
QD_t1_q512_e8_p80,513
QD_t4_q512_e8_p50,1658
MT_t1_q256_e0_p50,403
QD_t8_q1024_e8_p90,4113
QD_t6_q2048_e4_p70,3280
QD_t2_q2048_e8_p80,773
QD_t4_q256_e4_p50,1456
MT_t6_q512_e0_p90,7935
QD_t1_q2048_e16_p70,525
QD_t8_q1024_e16_p70,3716
MT_t8_q2048_e0_p70,8355
MT_t1_q2048_e0_p80,565
QD_t6_q512_e4_p70,2473
QD_t2_q128_e8_p90,928
QD_t8_q256_e4_p60,2206
QD_t1_q512_e0_p70,522
QD_t2_q512_e2_p70,1158
QD_t4_q128_e2_p50,1677
MT_t2_q128_e0_p60,921
QD_t6_q512_e2_p90,3014
MT_t4_q1024_e0_p80,2170
QD_t8_q128_e2_p50,2020
QD_t6_q256_e4_p80,2269
QD_t2_q2048_e0_p60,812
QD_t6_q2048_e2_p50,2959
QD_t8_q1024_e2_p60,4095
QD_t2_q512_e16_p50,750
QD_t2_q2048_e16_p60,782
QD_t4_q512_e0_p70,1651
QD_t1_q1024_e4_p60,517
QD_t8_q1024_e4_p80,4235
QD_t1_q128_e16_p80,513
QD_t8_q2048_e2_p90,4019
QD_t2_q1024_e4_p70,790
MT_t6_q512_e0_p60,3701
QD_t4_q128_e16_p80,1129
QD_t4_q128_e4_p90,1722
QD_t2_q256_e2_p70,769
QD_t4_q2048_e16_p80,1780
MT_t8_q1024_e0_p80,10923
QD_t6_q128_e4_p50,1876
QD_t1_q512_e2_p70,518
QD_t4_q128_e4_p70,1687
QD_t4_q128_e2_p70,1979
MT_t6_q1024_e0_p60,3238
QD_t2_q2048_e16_p90,861
QD_t4_q256_e2_p60,2158
QD_t2_q128_e2_p50,743
QD_t4_q1024_e4_p80,1749
MT_t8_q256_e0_p90,10037
QD_t4_q1024_e4_p60,1607
MT_t2_q2048_e0_p90,1048
MT_t8_q512_e0_p60,5365
QD_t1_q256_e0_p90,516
QD_t2_q512_e0_p70,1201
QD_t8_q256_e0_p80,4248
QD_t6_q1024_e0_p80,3094
QD_t1_q128_e8_p90,525
QD_t4_q128_e8_p80,1481
MT_t6_q256_e0_p70,3601
QD_t6_q256_e8_p60,2762
QD_t2_q2048_e4_p70,779
QD_t8_q2048_e16_p60,4065
QD_t6_q512_e8_p90,2890
QD_t2_q512_e4_p80,1287
QD_t8_q128_e4_p60,2076
QD_t8_q1024_e0_p50,3558
MT_t2_q128_e0_p90,1095
QD_t4_q512_e4_p70,1663
QD_t1_q1024_e0_p60,537
QD_t4_q512_e0_p80,1664
QD_t1_q256_e8_p70,523
QD_t8_q128_e4_p90,1876
QD_t4_q1024_e2_p80,1620
MT_t1_q512_e0_p60,418
QD_t6_q256_e16_p60,1677
QD_t1_q2048_e0_p60,724
QD_t4_q256_e0_p80,1660
QD_t4_q2048_e4_p50,1830
QD_t8_q128_e0_p90,3496
QD_t4_q256_e4_p80,2505
QD_t8_q512_e0_p70,4189
MT_t2_q256_e0_p70,992
MT_t2_q256_e0_p90,1070
MT_t4_q512_e0_p70,2122
QD_t8_q256_e16_p90,3160
QD_t6_q128_e16_p70,1832
QD_t1_q128_e16_p70,513
QD_t4_q2048_e8_p80,1807
QD_t4_q128_e16_p50,1635
QD_t6_q512_e2_p50,2491
QD_t2_q1024_e8_p90,788
QD_t8_q128_e8_p90,1843
QD_t6_q512_e16_p90,3043
QD_t4_q2048_e2_p50,1866
MT_t4_q256_e0_p90,5739
QD_t2_q256_e8_p70,816
QD_t8_q512_e8_p50,3905
QD_t4_q1024_e4_p70,1633
QD_t4_q2048_e0_p50,1943
MT_t2_q512_e0_p70,987
MT_t4_q512_e0_p50,2050
MT_t6_q2048_e0_p70,3484
MT_t1_q256_e0_p90,450
QD_t8_q512_e2_p60,3995
MT_t4_q2048_e0_p60,2105
QD_t6_q1024_e2_p70,3415
QD_t6_q512_e0_p60,4062
QD_t8_q512_e16_p60,3646
QD_t6_q1024_e4_p90,3726
MT_t8_q128_e0_p50,5256
MT_t6_q256_e0_p80,4683
MT_t1_q1024_e0_p50,375
MT_t8_q1024_e0_p50,5188
QD_t2_q2048_e8_p50,750
MT_t4_q256_e0_p60,1891
QD_t6_q256_e16_p90,1622
QD_t4_q256_e8_p70,1466
QD_t2_q128_e4_p50,987
QD_t4_q1024_e2_p90,1656
QD_t1_q256_e4_p60,519
QD_t4_q2048_e4_p70,2270
QD_t6_q2048_e16_p50,3605
QD_t2_q1024_e0_p80,844
QD_t2_q128_e8_p80,787
QD_t6_q512_e0_p50,3489
QD_t8_q256_e0_p90,3554
MT_t6_q128_e0_p60,4516
MT_t2_q1024_e0_p90,954
QD_t2_q512_e16_p90,1194
QD_t6_q128_e0_p90,2758
QD_t1_q512_e16_p80,526
QD_t4_q1024_e8_p80,1738
QD_t2_q512_e8_p90,959
QD_t8_q128_e2_p80,1858
QD_t6_q128_e2_p80,1701
QD_t2_q1024_e2_p70,741
MT_t2_q256_e0_p50,926
QD_t6_q256_e16_p50,2425
QD_t4_q256_e16_p80,1462
QD_t2_q256_e4_p70,969
QD_t2_q256_e8_p80,780
QD_t1_q2048_e8_p90,525
QD_t2_q1024_e2_p90,789
QD_t4_q512_e8_p70,2757
QD_t8_q2048_e2_p70,4105
QD_t4_q1024_e2_p70,1752
QD_t6_q1024_e8_p70,3657
QD_t2_q256_e16_p70,816
QD_t1_q1024_e4_p50,512
QD_t1_q128_e4_p60,525
QD_t1_q2048_e8_p70,517
QD_t2_q256_e4_p90,1034
MT_t8_q512_e0_p50,6094
QD_t2_q1024_e4_p80,777
QD_t8_q128_e8_p70,1998
QD_t4_q512_e2_p90,1648
QD_t4_q1024_e16_p70,2041
QD_t4_q2048_e16_p50,1815
MT_t6_q2048_e0_p90,8161
QD_t2_q256_e2_p80,788
MT_t4_q1024_e0_p60,1835
QD_t6_q2048_e0_p80,3993
QD_t8_q128_e16_p60,2127
QD_t6_q2048_e0_p70,2901
QD_t4_q1024_e0_p80,1982
QD_t4_q256_e4_p90,1470
QD_t2_q2048_e0_p50,799
QD_t8_q128_e0_p50,2457
QD_t4_q1024_e16_p90,1694
QD_t1_q1024_e2_p70,518
QD_t1_q256_e0_p70,527
MT_t4_q2048_e0_p50,1814
QD_t2_q128_e2_p60,1078
MT_t8_q2048_e0_p80,10425
QD_t1_q2048_e0_p80,716
QD_t4_q256_e4_p70,2376
QD_t6_q2048_e8_p90,3312
QD_t1_q512_e2_p60,508
QD_t2_q128_e2_p90,792
QD_t8_q2048_e16_p90,4193
QD_t2_q2048_e4_p80,764
QD_t6_q512_e8_p60,2907
QD_t6_q256_e4_p60,1539
QD_t1_q128_e2_p70,522
MT_t2_q2048_e0_p50,977
QD_t2_q512_e4_p50,760
MT_t4_q256_e0_p50,2253
QD_t1_q512_e16_p60,514
QD_t6_q2048_e8_p60,3684
QD_t4_q128_e8_p50,1777
QD_t1_q256_e2_p50,503
QD_t4_q512_e4_p80,1666
QD_t2_q1024_e16_p60,745
QD_t4_q2048_e8_p70,2628
QD_t6_q128_e8_p80,1408
QD_t4_q1024_e8_p60,1606
QD_t2_q128_e16_p60,781
QD_t8_q256_e8_p50,3432
QD_t8_q256_e16_p50,2270
QD_t8_q1024_e8_p80,4093
QD_t8_q1024_e4_p70,3742
MT_t4_q128_e0_p50,1741
QD_t1_q1024_e0_p50,504
QD_t4_q256_e16_p50,1520
QD_t6_q512_e16_p50,2965
QD_t4_q2048_e2_p90,2295
MT_t6_q1024_e0_p50,3071
QD_t1_q1024_e8_p80,515
QD_t4_q256_e0_p60,2491
QD_t8_q256_e2_p50,3638
QD_t8_q1024_e8_p70,3506
MT_t6_q1024_e0_p80,4163
QD_t6_q128_e16_p80,1306
QD_t4_q512_e2_p70,2445
QD_t2_q1024_e16_p80,784
QD_t1_q128_e4_p90,527
MT_t2_q256_e0_p60,1005
MT_t1_q1024_e0_p90,429
QD_t1_q512_e8_p90,529
QD_t8_q512_e4_p70,3692
QD_t1_q512_e4_p50,527
QD_t6_q2048_e4_p60,3893
QD_t1_q2048_e16_p60,523
QD_t6_q512_e4_p50,2923
QD_t2_q512_e0_p80,1121
MT_t8_q2048_e0_p60,5109
QD_t2_q128_e4_p80,803
QD_t6_q2048_e16_p80,3817
QD_t6_q512_e4_p60,3122
MT_t1_q2048_e0_p90,604
QD_t8_q256_e4_p70,1629
QD_t2_q512_e8_p50,892
MT_t1_q512_e0_p80,449
MT_t2_q2048_e0_p60,948
QD_t2_q512_e2_p60,827
MT_t2_q128_e0_p70,930
MT_t6_q2048_e0_p60,3819
QD_t6_q512_e2_p80,2613
QD_t6_q2048_e16_p60,3358
MT_t1_q128_e0_p90,458
QD_t6_q256_e4_p90,1424
QD_t8_q128_e2_p60,2007
QD_t8_q1024_e2_p70,4072
QD_t2_q2048_e0_p90,971
QD_t2_q2048_e16_p70,762
QD_t8_q1024_e16_p90,3823
QD_t2_q512_e16_p60,759
QD_t4_q512_e0_p60,2932
QD_t1_q1024_e4_p90,545
QD_t4_q1024_e2_p50,1619
QD_t4_q128_e0_p50,1414
QD_t8_q256_e0_p50,4034
QD_t8_q1024_e4_p90,3981
QD_t8_q1024_e16_p60,4170
MT_t2_q1024_e0_p50,1008
QD_t8_q2048_e2_p80,4099
QD_t6_q1024_e8_p80,3192
QD_t6_q128_e0_p50,1916
QD_t1_q128_e16_p90,525
MT_t8_q128_e0_p90,10633
MT_t6_q512_e0_p50,3719
QD_t6_q256_e0_p80,2945
QD_t8_q2048_e0_p70,3950
MT_t2_q512_e0_p90,998
QD_t4_q2048_e16_p90,1746
QD_t1_q256_e4_p50,515
QD_t4_q128_e8_p90,2002
QD_t6_q2048_e16_p70,3482
QD_t8_q256_e2_p80,1549
QD_t1_q128_e4_p50,506
QD_t4_q256_e2_p70,2226
QD_t6_q2048_e0_p60,4121
MT_t2_q2048_e0_p80,1002
MT_t6_q128_e0_p50,3714
MT_t1_q2048_e0_p70,422
QD_t8_q512_e4_p90,3550
QD_t8_q2048_e0_p80,4166
QD_t4_q2048_e4_p90,1891
QD_t1_q256_e0_p80,546
MT_t8_q512_e0_p90,9750
MT_t8_q1024_e0_p70,8291
QD_t4_q512_e16_p80,2716
QD_t4_q1024_e0_p50,1713
QD_t1_q2048_e2_p50,513
QD_t2_q512_e0_p60,915
QD_t1_q256_e2_p70,510
QD_t2_q128_e0_p50,1191
QD_t1_q128_e8_p80,521
MT_t4_q512_e0_p60,1905
QD_t1_q128_e0_p90,540
QD_t6_q256_e8_p70,2542
QD_t6_q2048_e0_p90,4005
QD_t6_q512_e8_p80,2265
QD_t8_q2048_e16_p70,3407
QD_t2_q2048_e4_p60,782
QD_t1_q2048_e4_p80,732
QD_t8_q2048_e8_p70,4079
QD_t4_q1024_e8_p70,1645
QD_t8_q1024_e0_p60,4021
QD_t4_q512_e4_p60,1722
QD_t8_q128_e16_p90,1936
QD_t8_q2048_e8_p80,4043
QD_t1_q512_e0_p80,527
MT_t1_q512_e0_p70,409
QD_t1_q2048_e0_p70,518
QD_t6_q2048_e8_p50,3449
QD_t8_q256_e8_p80,3060
QD_t4_q128_e8_p60,1683
QD_t8_q2048_e0_p50,3960
QD_t8_q128_e0_p60,3818
QD_t6_q1024_e0_p70,4108
QD_t6_q256_e2_p80,2352
QD_t8_q256_e8_p60,1700
QD_t2_q256_e0_p50,821
QD_t8_q256_e16_p80,1704
MT_t4_q128_e0_p60,2018
QD_t1_q1024_e16_p50,509
QD_t6_q128_e16_p60,1841
QD_t1_q256_e8_p90,542
QD_t1_q512_e8_p50,576
MT_t2_q512_e0_p60,1037
QD_t4_q512_e0_p90,1653
MT_t1_q256_e0_p80,436
QD_t8_q2048_e8_p90,4063
QD_t1_q512_e4_p60,512
QD_t1_q256_e8_p60,510
QD_t1_q1024_e2_p90,517
QD_t8_q512_e16_p70,3970
MT_t8_q128_e0_p80,9871
MT_t4_q512_e0_p90,5603
MT_t6_q256_e0_p90,7923
QD_t2_q128_e16_p50,743
QD_t4_q2048_e4_p60,1711
QD_t2_q128_e4_p60,759
QD_t1_q256_e4_p90,519
QD_t6_q2048_e4_p50,3679
QD_t1_q2048_e16_p90,618
QD_t2_q1024_e0_p90,860
QD_t1_q2048_e2_p80,722
QD_t8_q256_e0_p60,4237
MT_t2_q1024_e0_p60,948
QD_t8_q1024_e16_p50,4153
QD_t8_q512_e0_p80,3070
QD_t6_q1024_e16_p80,3587
MT_t6_q128_e0_p90,7931
QD_t4_q1024_e8_p90,1670
QD_t8_q512_e2_p50,4139
QD_t2_q512_e8_p80,803
QD_t8_q128_e2_p90,1850
QD_t6_q128_e8_p60,1818
QD_t6_q128_e2_p90,1679
QD_t2_q512_e2_p50,769
QD_t6_q1024_e0_p60,3493
QD_t1_q256_e16_p50,507
QD_t2_q256_e8_p90,817
QD_t8_q1024_e2_p80,4128
QD_t6_q128_e2_p70,1825
QD_t6_q2048_e2_p70,2978
QD_t8_q2048_e2_p60,4167
QD_t4_q512_e0_p50,1597
MT_t4_q128_e0_p90,5805
QD_t2_q256_e16_p60,773
QD_t8_q2048_e0_p90,4158
QD_t4_q128_e0_p60,2975
QD_t4_q512_e2_p50,1694
QD_t8_q2048_e4_p50,3859
MT_t6_q512_e0_p80,4786
QD_t2_q1024_e4_p90,910
QD_t1_q512_e0_p90,527
QD_t6_q256_e0_p90,2924
QD_t4_q1024_e16_p60,1629
QD_t4_q2048_e16_p60,1756
QD_t2_q256_e2_p90,775
QD_t4_q1024_e0_p90,1705
MT_t8_q256_e0_p50,5525
QD_t2_q1024_e0_p60,838
QD_t4_q1024_e16_p80,1776
QD_t2_q1024_e16_p50,733
QD_t1_q1024_e2_p60,508
QD_t1_q256_e0_p60,528
QD_t2_q128_e2_p70,772
QD_t6_q1024_e4_p50,3505
QD_t6_q2048_e0_p50,3993
QD_t6_q512_e4_p90,2683
QD_t1_q256_e2_p90,543
QD_t2_q128_e8_p70,773
QD_t6_q2048_e8_p80,3345
QD_t2_q512_e4_p60,799
QD_t4_q512_e16_p50,1549
QD_t6_q256_e4_p70,1580
QD_t1_q128_e2_p60,507
QD_t6_q512_e8_p50,3153
QD_t8_q128_e16_p50,2126
QD_t6_q1024_e16_p60,3447
QD_t1_q128_e8_p70,520
QD_t1_q512_e16_p50,515
QD_t8_q1024_e0_p90,4146
QD_t2_q256_e16_p90,857
QD_t2_q2048_e4_p50,739
QD_t6_q128_e8_p90,1781
QD_t1_q2048_e4_p50,511
MT_t1_q512_e0_p90,460
MT_t1_q512_e0_p50,387
QD_t2_q128_e16_p90,768
MT_t8_q256_e0_p80,11615
QD_t8_q2048_e2_p50,3906
QD_t4_q256_e8_p80,1438
QD_t4_q512_e4_p50,2314
QD_t1_q256_e16_p80,537
QD_t4_q2048_e2_p80,1901
QD_t4_q256_e0_p70,1604
QD_t6_q512_e16_p60,3278
QD_t1_q256_e8_p50,502
QD_t2_q256_e0_p80,833
QD_t8_q256_e2_p60,3301
QD_t1_q1024_e16_p80,519
MT_t6_q1024_e0_p90,7524
QD_t2_q1024_e8_p50,750
QD_t6_q256_e2_p50,2711
QD_t8_q512_e8_p90,3172
QD_t4_q2048_e0_p90,1724
MT_t1_q1024_e0_p80,406
MT_t6_q256_e0_p50,3824
QD_t4_q128_e2_p90,1649
QD_t4_q512_e4_p90,1773
QD_t6_q128_e16_p50,1850
QD_t1_q1024_e16_p60,517
QD_t4_q128_e16_p70,1796
QD_t1_q512_e8_p60,513
QD_t2_q256_e8_p50,738
QD_t4_q1024_e16_p50,1730
QD_t8_q512_e4_p60,3954
QD_t4_q2048_e0_p70,1789
MT_t1_q256_e0_p70,457
QD_t6_q1024_e2_p80,2279
MT_t6_q2048_e0_p50,3363
QD_t6_q2048_e4_p90,3272
QD_t1_q2048_e16_p50,504
MT_t8_q128_e0_p60,5661
QD_t8_q512_e16_p80,3871
MT_t8_q2048_e0_p50,5949
QD_t2_q128_e4_p90,804
QD_t6_q2048_e16_p90,3538
QD_t8_q512_e2_p90,3739
QD_t1_q512_e0_p50,504
QD_t2_q512_e2_p90,877
MT_t8_q128_e0_p70,8622
QD_t2_q256_e2_p50,734
QD_t2_q128_e16_p70,775
QD_t6_q128_e4_p70,1786
MT_t1_q128_e0_p80,407
QD_t8_q128_e2_p70,1952
QD_t2_q2048_e0_p80,920
QD_t8_q1024_e16_p80,4015
QD_t2_q512_e16_p70,780
QD_t1_q1024_e4_p80,519
QD_t2_q1024_e2_p50,765
QD_t2_q2048_e2_p90,792
QD_t6_q128_e0_p60,2465
QD_t2_q256_e0_p70,860
QD_t1_q256_e16_p60,509
QD_t2_q1024_e4_p50,944
QD_t8_q2048_e0_p60,3904
QD_t2_q256_e4_p50,762
MT_t2_q512_e0_p80,1049
QD_t2_q512_e0_p90,966
QD_t2_q2048_e2_p70,774
QD_t8_q256_e2_p90,2366
QD_t6_q1024_e8_p90,3880
QD_t4_q128_e4_p50,1655
QD_t2_q256_e16_p50,751
QD_t2_q1024_e16_p90,788
QD_t4_q256_e2_p80,1368
QD_t4_q512_e16_p60,1773
QD_t4_q512_e8_p90,1661
QD_t8_q512_e4_p80,3374
QD_t6_q1024_e0_p50,3745
QD_t1_q512_e4_p80,517
MT_t8_q512_e0_p80,10537
QD_t4_q2048_e4_p80,1735
QD_t1_q128_e0_p60,527
MT_t6_q128_e0_p80,4561
QD_t6_q512_e0_p80,3329
QD_t4_q1024_e0_p60,3434
QD_t4_q512_e16_p90,1609
QD_t1_q2048_e2_p60,508
MT_t8_q256_e0_p60,6909
QD_t1_q256_e2_p60,505
QD_t2_q512_e0_p50,1287
QD_t6_q1024_e16_p70,3825
QD_t2_q128_e0_p60,823
QD_t1_q1024_e8_p50,494
QD_t6_q128_e4_p60,1987
QD_t6_q256_e2_p90,2236
MT_t8_q1024_e0_p60,4962
QD_t1_q128_e0_p80,526
MT_t4_q2048_e0_p80,2202
QD_t6_q1024_e4_p60,2908
QD_t6_q256_e8_p80,2279
QD_t8_q2048_e8_p60,4054
MT_t1_q2048_e0_p50,365
QD_t2_q128_e0_p80,849
QD_t1_q2048_e4_p90,518
QD_t8_q1024_e8_p50,3948
QD_t8_q1024_e0_p70,3960
QD_t6_q1024_e0_p90,2454
QD_t1_q128_e2_p90,512
QD_t6_q2048_e2_p90,3498
QD_t2_q512_e4_p70,909
QD_t8_q128_e16_p80,1480
QD_t6_q256_e16_p80,1642
MT_t4_q256_e0_p70,1999
QD_t2_q1024_e0_p50,824
QD_t8_q256_e8_p90,1496
QD_t4_q128_e8_p70,1717
QD_t1_q1024_e0_p90,520
QD_t4_q128_e0_p80,1446
MT_t4_q1024_e0_p70,2208
QD_t8_q128_e0_p70,4627
QD_t8_q256_e8_p70,2804
QD_t4_q256_e8_p50,1357
QD_t8_q1024_e4_p50,2720
QD_t2_q256_e0_p60,854
QD_t4_q2048_e8_p60,1793
QD_t8_q256_e16_p70,1733
QD_t1_q256_e8_p80,520
QD_t1_q128_e16_p50,508
QD_t4_q2048_e2_p70,1823
QD_t4_q256_e16_p70,1428
QD_t8_q512_e8_p70,4081
MT_t2_q512_e0_p50,926
QD_t2_q1024_e8_p60,788
QD_t8_q2048_e4_p90,4037
QD_t1_q1024_e2_p80,517
QD_t1_q1024_e8_p70,515
QD_t6_q256_e2_p60,1529
MT_t4_q512_e0_p80,2096
MT_t1_q1024_e0_p70,430
MT_t4_q1024_e0_p90,5931
QD_t2_q2048_e8_p70,777
QD_t1_q2048_e4_p60,510
QD_t8_q256_e4_p80,2910
QD_t8_q2048_e4_p70,4048
QD_t8_q512_e4_p50,3838
QD_t1_q512_e4_p70,523
QD_t1_q256_e0_p50,516
QD_t2_q128_e4_p70,795
QD_t1_q256_e4_p80,530
QD_t2_q2048_e8_p90,770
QD_t1_q2048_e2_p90,524
QD_t1_q2048_e16_p80,714
MT_t2_q1024_e0_p70,1014
QD_t8_q256_e0_p70,4004
QD_t2_q2048_e16_p80,776
QD_t6_q512_e4_p80,2779
MT_t4_q2048_e0_p70,1996
MT_t6_q2048_e0_p80,5052
QD_t6_q128_e8_p70,1792
QD_t2_q512_e8_p70,831
QD_t1_q512_e0_p60,538
MT_t2_q128_e0_p50,844
QD_t1_q1024_e8_p60,511
MT_t8_q1024_e0_p90,8894
QD_t6_q128_e4_p90,1665
QD_t2_q2048_e0_p70,847
QD_t6_q2048_e2_p60,3290
QD_t8_q1024_e2_p90,3886
QD_t4_q1024_e4_p90,1918
QD_t1_q1024_e4_p70,521
QD_t6_q1024_e8_p50,3156
QD_t4_q128_e0_p70,1556
QD_t1_q2048_e8_p50,511
QD_t4_q128_e16_p90,1770
QD_t8_q128_e8_p50,2063
MT_t6_q512_e0_p70,4350
QD_t2_q1024_e4_p60,771
QD_t4_q128_e4_p80,1707
QD_t8_q1024_e0_p80,3985
QD_t4_q2048_e16_p70,2777
QD_t2_q256_e2_p60,779
QD_t2_q1024_e0_p70,827
QD_t4_q128_e4_p60,1743
QD_t4_q128_e2_p60,1825
QD_t1_q1024_e2_p50,514
QD_t4_q256_e2_p50,1316
QD_t6_q1024_e16_p90,3689
QD_t1_q256_e2_p80,528
QD_t4_q1024_e4_p50,1723
QD_t8_q128_e4_p80,1933
MT_t8_q512_e0_p70,8537
QD_t1_q128_e0_p50,533
MT_t1_q128_e0_p60,400
MT_t2_q2048_e0_p70,1047
QD_t1_q128_e2_p50,522
QD_t4_q256_e0_p90,1846
QD_t1_q128_e8_p60,514
QD_t6_q1024_e16_p50,3578
QD_t1_q512_e2_p80,526
QD_t2_q256_e16_p80,798
QD_t8_q2048_e16_p50,4197
QD_t4_q1024_e8_p50,1591
MT_t1_q2048_e0_p60,554
QD_t2_q512_e4_p90,832
QD_t2_q128_e16_p80,851
QD_t6_q128_e8_p50,1953
QD_t1_q512_e2_p90,518
QD_t4_q256_e8_p90,1367
QD_t2_q128_e8_p60,785
QD_t1_q1024_e0_p70,529
MT_t2_q128_e0_p80,1008
QD_t6_q1024_e2_p60,3364
QD_t1_q256_e16_p90,537
QD_t6_q256_e16_p70,1645
MT_t4_q1024_e0_p50,3397
MT_t4_q256_e0_p80,2079
QD_t2_q256_e0_p90,866
QD_t1_q2048_e0_p90,732
QD_t8_q256_e2_p70,3567
QD_t1_q1024_e16_p90,521
QD_t8_q128_e0_p80,4513
QD_t8_q512_e8_p80,3847
MT_t2_q256_e0_p80,1061
MT_t6_q256_e0_p60,3428
QD_t6_q256_e8_p50,2753
QD_t4_q2048_e0_p80,2128
